name,tag,region,rr,rank,puuid
GGA VENDETTA,2011,ap,157,3818,6fd87214-88ee-542f-bd01-1ca370407226
Kayel,800D,ap,155,3884,21d80097-0642-5d54-964c-c2db1ad55bb5
โรบอกแมพมายคราฟ,001,ap,152,3964,a482b5f9-a15f-57eb-8862-18627308be63
taife,yum,ap,152,3974,c6ee2f62-b9da-5064-b130-323cb97d85fa
desperate,thh,ap,151,3994,75425651-268c-5c34-b0fd-0b23aa14eeda
T1zzin,888,ap,151,3999,bdd6fb54-4597-533c-9948-809b030d1acd
Jaggi,dgaf,ap,150,4006,dea2c003-9695-55f7-b132-dd46af76cd84
wunder6k,8888,ap,150,4018,1b676b0a-4680-5716-a76e-fd26be1a1913
jihu Anggimoti,앙앙앙,ap,149,4039,a76bdef2-d030-5e5a-8071-2659c61815f6
joyboy,ness,ap,149,4040,522e159a-11a3-50ff-b82a-04f307af406b
r4dahn,bobby,ap,144,4214,9a4303d6-da33-5002-8441-f0e990adf995
kaipedtom,1650,ap,143,4224,148aa22a-b13c-559c-aed5-223f1498c96e
Mohamed Light,母親管理,ap,141,4287,275f014e-929f-5504-b6e7-428f7fb47c02
Lastresort,MVP,ap,140,4346,e3865759-8e6c-5cd0-a7f9-966ed55ea83c
kash,aisha,ap,139,4376,c7e1a777-3e77-5108-ae5d-be834a5ebd00
Let,HAC,ap,139,4378,eb4b4e96-dbaf-5d9b-874b-8c1b5268925e
Julius Caesar,無敗神話,ap,138,4398,388e6d1a-f6cd-5e96-823d-a229fefda85e
nausu,963,ap,138,4420,c2bfb697-4da8-5e12-a13b-e6e7c893f797
Gen JY,2010,ap,137,4433,3bbf728f-59a6-5e18-b4b7-f96af49494df
萬里長城,WALL,ap,135,4491,cd2b2275-1199-568f-af5d-0aa79f68fa14
ooo,5468,ap,135,4520,794056b7-61e0-5c8b-95a4-f2f3f21d2d50
Undertaker,LilaS,ap,134,4531,210b5cc3-ed26-563a-a7d3-1c3c968caaa2
SangraM,8080,ap,133,4566,af0660ef-f081-55a8-8b8c-006f97ff5f20
Dowoo,1014,ap,132,4590,76915b67-5827-56df-839f-18dc32bd952f
innocence,kanee,ap,132,4600,a60a38cd-4fac-5e44-8a61-d9931b4e8edd
xera,miyel,ap,129,4722,6d83116d-8cf0-58c6-935f-7f95a21bbb52
Omnii,008,ap,129,4728,49ea0931-3801-5447-ad52-2a6a7fcf5821
Tat5ua,unchi,ap,129,4739,f80c69f5-e02c-5b23-a46f-d874beaadfe8
Nano,0831,ap,129,4742,302ee25f-4c1a-5b20-8f41-7f282f509992
master fearless,강주하,ap,128,4763,38f9f9d7-90d8-5fe4-8baf-2b2cdcaa18d5
Daisy,0604,ap,127,4800,1dd5e564-8cc6-52ee-92ed-d50172dd8949
imeow,baby,ap,124,4908,2a86f4cb-d78e-5d2d-ba48-9bb883f19d14
Spookyz,abc,ap,124,4936,58c58e07-c03b-5b0c-8639-4d0b8d6981b6
APACs DEMON1,3650,ap,124,4937,23f7d813-0a2a-57af-876c-c7e6662fb6ab
Almond Chocolate,0511,ap,123,4949,7ad4bae1-ac96-5f1a-8760-0b3d5b37b69f
asdasdasdprodg,venom,ap,123,4975,e767b298-96e6-5e4e-895b-fd88d3987216
えげつない,他責duo,ap,123,4977,0f5e0571-a0fb-5ed9-93ea-062fc98a1033
CTS Neeqo,carms,ap,123,4987,6739d1c5-e0a0-5102-8986-6592da9c2f47
Youuu,hot,ap,121,5086,6a865c74-78ca-552e-8209-e71c5719918a
Kneehawl,AIMER,ap,120,5116,895e38a3-cd5f-5a51-9cf8-1a551ce1fd5d
