name,tag,region,rr,rank,puuid
one eyed king,esco,eu,570,251,cf401be1-4992-505f-a699-b9094a388a89
BIG DØNKS ツ,zelia,eu,570,252,a3f543f5-db76-5475-878d-051df8ef26b1
,,eu,570,253,
martin97,new,eu,570,254,7a5f4ad3-bfb3-5e8c-8444-aafcff47793e
,,eu,570,255,
Myst,tqtbg,eu,570,256,a386b202-ca2a-5779-b077-2c1415f75e40
Eu Last Hope,0724,eu,570,257,325eaab4-0bf1-51f6-8683-cf0bdc185d92
yui,JULS,eu,570,258,f3708dec-c20a-58a9-b34a-53018df97c38
snowberry,aczy,eu,570,259,72c876e7-bef8-52a3-a4e2-84beaea7c0f9
Keo,zin,eu,569,260,df9c60bd-c012-50ed-9365-94a4aa2e243c
coinflip chamber,471,eu,569,261,394f8c6e-b90d-5d9b-9083-225515014bce
ATN disisjohn,door,eu,568,262,578ed67d-ea66-5bf5-9b46-27823afc1b5a
,,eu,568,263,
BossBoi,1010,eu,567,264,c3133fa9-e9a2-578c-a193-b2d3f5aa94c7
Baileys lover,ACID,eu,567,265,940da96b-1e8b-5777-b38a-99a71f5f0a84
I love n0vaxware,south,eu,567,266,7456abf7-e85b-5ef3-9276-82cfd4271a70
jjjjjjjjjjj,ööö,eu,567,267,27329bd7-1cdf-5306-b45c-5015cebec617
starB,1109,eu,567,268,8ab1a9d1-6c7e-5053-bd55-8d40e59bd1c0
JLS,aim,eu,567,269,8820fef7-d26b-5eb7-aed5-0013489d7731
,,eu,567,270,
HyBriZ,8345,eu,566,271,b556d238-0ada-5610-9a2a-118379f0f76e
Fezoo,Cihan,eu,566,272,6eed5f79-3ee8-5748-a3d0-427d38ea5805
Ego0o,Egoo,eu,565,273,ffa582fa-5ef8-5a7a-8803-29e18d974ee5
,,eu,565,274,
Ruxic,AIM,eu,564,275,081dd4bc-db08-5645-8d21-7559db3bebd6
,,eu,564,276,
Ixma,5252,eu,564,277,5a08e893-6949-5fc6-8a81-6334e38498dc
blessing it,scaih,eu,564,278,a379fa0a-4967-500a-aed1-62cec622493b
Wlory,peek,eu,564,279,c0c78ebf-6ac5-5901-a7ea-fc0d7056de02
Swaplex,1207,eu,564,280,05b64a18-7470-5fec-9d0b-9de1332ae743
rr1,xdd,eu,564,281,c01e40e4-78dd-5c98-9af2-dfd762dfb8de
SpY,zerAA,eu,564,282,0131a66d-f973-5f41-a2d8-37fd847ccbaa
NEV 777,cold,eu,564,283,a491724d-633f-5183-9f89-8df809a03507
kʍʍ,213,eu,564,284,5b2f455c-8fa7-5194-9279-1bfa2e901ff5
Tricsorr,1TAP,eu,563,285,bf827727-2d03-5ef0-906c-ee5da55bf73c
RifLeMasteR,KELEŞ,eu,563,286,4a391b59-8fce-5ba5-9240-320ebbdb0ca1
BIG BOY CYRU,STEEZ,eu,562,287,895b9d1d-327b-5e6b-b083-1aa66d831bf3
,,eu,562,288,
Wanlast,TYBW,eu,562,289,9906d8aa-b3d6-500c-82bb-1bd8918cb20e
Yuko,7787,eu,562,290,61e9a8fe-a9c4-5ecd-bf78-d09d35ed3365
Aceypoo,Cat,eu,561,291,2d7ec896-67f8-52a1-b661-632c9b59a19b
S8UL xexxar,aiai,eu,560,292,6dc8e99d-6a9f-5526-b96c-0e94312471de
dev0z,Alyss,eu,560,293,3369d73e-1746-550d-9ade-283e28fbde47
TDB Lazare,PELO,eu,560,294,d15f8611-1607-511b-8ecf-bee4dd6829e8
VL tariqxy,Y11,eu,560,295,f0cb3139-6654-51aa-9801-563370bff9f2
G2 Akita,mint,eu,559,296,94a502f2-92e8-5987-9ef1-3b586c685115
meloware,light,eu,559,297,4ab8d420-3195-5543-a285-c32d2deb4508
Javelin,kaban,eu,559,298,791fd27e-3d2b-5e7c-9ff1-f0642bf98dc2
,,eu,559,299,
,,eu,559,300,
GEMiNiAA,aAa,eu,559,301,06e0ed16-947e-5732-870a-b5e054fed01a
fubuki,sigma,eu,559,302,612e699b-cafa-57b1-bb59-1de12c11dcf5
xix,noonz,eu,559,303,0779cf20-aba6-5a4d-97df-ba9e53d00f4a
sifty,bungu,eu,558,304,99f73fae-14a0-5155-aa70-b8cfcd3c6c92
Yehia,3ebs,eu,558,305,c6a2a91a-cc1e-5f48-9b50-441219543590
Louda,Yen,eu,558,306,35ac4398-ded8-53f9-951b-2a3debe11900
neurotypical,unit,eu,558,307,b22a3d75-eb1d-5ba6-99a7-6fe94c211816
d e s p a a a,6flet,eu,558,308,58fe8ec7-8a93-5512-becd-02af20a368a0
